tweet_id,text,retweets,urls,mentions,hashtags,emoji,emoji_text,cleaned_text
1265465820995411973,"This was me, and I want to make one thing clear to all the people that are commenting lies below this video. I did NOT spit in this officers face. I was wearing a face mask. He told me to get out of the street and then immediately threw me out of the way. https://t.co/349TZijtD8",257467,['https://t.co/349TZijtD8'],[],[],[],[],"This was me, and I want to make one thing clear to all the people that are commenting lies below this video. I did NOT spit in this officers face. I was wearing a face mask. He told me to get out of the street and then immediately threw me out of the way. "
1266553959973445639,Mike Pence caught on hot mic delivering empty boxes of PPE for a PR stunt. https://t.co/IduvGhiPwj,135818,['https://t.co/IduvGhiPwj'],[],[],[],[],Mike Pence caught on hot mic delivering empty boxes of PPE for a PR stunt. 
1258750892448387074,THE PANDEMIC IS STILL HAPPENING. THE PANDEMIC IS STILL HAPPENING. THE PANDEMIC IS STILL HAPPENING. THE PANDEMIC IS STILL HAPPENING. THE PANDEMIC IS STILL HAPPENING. THE PANDEMIC IS STILL HAPPENING. THE PANDEMIC IS STILL HAPPENING. THE PANDEMIC IS STILL HAPPENING.,88667,[],[],[],[],[],THE PANDEMIC IS STILL HAPPENING. THE PANDEMIC IS STILL HAPPENING. THE PANDEMIC IS STILL HAPPENING. THE PANDEMIC IS STILL HAPPENING. THE PANDEMIC IS STILL HAPPENING. THE PANDEMIC IS STILL HAPPENING. THE PANDEMIC IS STILL HAPPENING. THE PANDEMIC IS STILL HAPPENING.
1263579286201446400,"This just happened on live tv. Wow, what a douche bag. https://t.co/dQKheEcCvb",82495,['https://t.co/dQKheEcCvb'],[],[],[],[],"This just happened on live tv. Wow, what a douche bag. "
1266546753182056453,Mask on,66604,[],[],[],[],[],Mask on
1259975524581064704,He came full equipped with receipts https://t.co/KJp7SjTPbl,63054,['https://t.co/KJp7SjTPbl'],[],[],[],[],He came full equipped with receipts 
1266738565641371648,"Attending protests is not for everyone and that's ok. Whether you are continuing to quarantine in mid-pandemic or you simply do not feel comfortable/safe, here are 3 ways you can still show your support from home that takes less than 30 min:",61422,[],[],[],[],[],"Attending protests is not for everyone and that's ok. Whether you are continuing to quarantine in mid-pandemic or you simply do not feel comfortable/safe, here are 3 ways you can still show your support from home that takes less than 30 min:"
1267066200049229824,When I watch season 2 of a show trying to remember what happens in season 1 that  I watched 2 years ago in one day https://t.co/IjPsravLT5,61038,['https://t.co/IjPsravLT5'],[],[],[],[],When I watch season 2 of a show trying to remember what happens in season 1 that  I watched 2 years ago in one day 
1256657625334284292,The government trying to flatten the curve https://t.co/PbqP72Z4RL,60719,['https://t.co/PbqP72Z4RL'],[],[],[],[],The government trying to flatten the curve 
1260237550091935746,"if we only keep one thing from this pandemic, i hope it’s priests with water pistols https://t.co/2LNCjqEFtc",60650,['https://t.co/2LNCjqEFtc'],[],[],[],[],"if we only keep one thing from this pandemic, i hope it’s priests with water pistols "
1258858142483443717,"SHE IS AN ELECTED OFFICIAL AND GOT ATTACKED BY THE POLICE. AGAIN: SHE WORKS IN YHE GOVERNMENT, AN ELECTED OFFICIAL, AND SHE GOT PEPPER SPRAYED DURING A PEACEFUL PROTEST. https://t.co/9pE10JW2uk",60595,['https://t.co/9pE10JW2uk'],[],[],"[': SHE WORKS IN YHE GOVERNMENT, AN ELECTED OFFICIAL, AND SHE GOT PEPPER SPRAYED DURING A PEACEFUL PROTEST. https:']","[': SHE WORKS IN YHE GOVERNMENT, AN ELECTED OFFICIAL, AND SHE GOT PEPPER SPRAYED DURING A PEACEFUL PROTEST. https:']","SHE IS AN ELECTED OFFICIAL AND GOT ATTACKED BY THE POLICE. AGAIN: SHE WORKS IN YHE GOVERNMENT, AN ELECTED OFFICIAL, AND SHE GOT PEPPER SPRAYED DURING A PEACEFUL PROTEST. "
1266949931308367872,"quarantine will someday end, but I hope this continues https://t.co/aCTzXZqzIV",60143,['https://t.co/aCTzXZqzIV'],[],[],[],[],"quarantine will someday end, but I hope this continues "
1266494398080172032,"Quote of the year: “If you expect elementary school children to endure the trauma of active shooter drills for your freedoms, you can wear a mask to Costco.”",56716,[],[],[],[],[],"Quote of the year: “If you expect elementary school children to endure the trauma of active shooter drills for your freedoms, you can wear a mask to Costco.”"
1265095165397491712,I gotta be honest the worst looting I've ever seen take place happened a few weeks ago when corporations collected over 500 billion dollars in stimulus money while everyone else was left with a $1200 dollar check and having to decide if they pay for food or rent..,54193,[],[],[],[],[],I gotta be honest the worst looting I've ever seen take place happened a few weeks ago when corporations collected over 500 billion dollars in stimulus money while everyone else was left with a $1200 dollar check and having to decide if they pay for food or rent..
1264702232227971072,Because if its Baghdad its okay for this to happen...? https://t.co/UdFy61zoT5,53137,['https://t.co/UdFy61zoT5'],[],[],[],[],Because if its Baghdad its okay for this to happen...? 
1266539575108931584,"Y'all, the mask goes OVER your nose.",51423,[],[],[],[],[],"Y'all, the mask goes OVER your nose."
1259910508922105856,"Alright it's international giveaway time - Looking to make someone's quarantine time a little more fun!

Giving away this customized SNES Edition Nintendo Switch

Just RETWEET to enter and I'll pick a random winner in 24 hours.

Shoutout to @ColorWare for making this possible! https://t.co/DorttSrQvR",50844,['https://t.co/DorttSrQvR'],['@ColorWare'],[],[],[],"Alright it's international giveaway time - Looking to make someone's quarantine time a little more fun!

Giving away this customized SNES Edition Nintendo Switch

Just RETWEET to enter and I'll pick a random winner in 24 hours.

Shoutout to  for making this possible! "
1264678146047119364,Update: Got her permission with a fuck yeah. The cop pushed her so hard at Barclays &amp; she flung back. She is tiny. Now she’s in the ER after a serious seizure. I’m waiting for updates but have to wait outside because of COVID-19. Please keep my protest sister in your thoughts. https://t.co/MqV0QJ0D8h,50552,['https://t.co/MqV0QJ0D8h'],[],[],[],[],Update: Got her permission with a fuck yeah. The cop pushed her so hard at Barclays &amp; she flung back. She is tiny. Now she’s in the ER after a serious seizure. I’m waiting for updates but have to wait outside because of COVID-19. Please keep my protest sister in your thoughts. 
1256730344964980738,Update FedEx called and told me to take down this video and fired both of us Today .. I’m reposting this video because people like him doesn’t matter white or any race should never disrespect essential workers putting their lives in jeopardy especially with this covid-19 https://t.co/Fw0S5gNRso,50223,['https://t.co/Fw0S5gNRso'],[],[],[],[],Update FedEx called and told me to take down this video and fired both of us Today .. I’m reposting this video because people like him doesn’t matter white or any race should never disrespect essential workers putting their lives in jeopardy especially with this covid-19 
1266876587544162304,"Voting by mail is safe and secure. Especially during a pandemic.

But Trump continues to say – without evidence – it will lead to voter fraud and that it’s not “honest voting.”

That’s. Simply. Not. True.

RT if you support everyone being able to vote safely by mail in November.",49463,[],[],[],[],[],"Voting by mail is safe and secure. Especially during a pandemic.

But Trump continues to say – without evidence – it will lead to voter fraud and that it’s not “honest voting.”

That’s. Simply. Not. True.

RT if you support everyone being able to vote safely by mail in November."
1266971523476107266,I am heartbroken and disgusted to see one of my family members a young black man w/his hands up peacefully protesting and an NYPD officer pulls down his mask and pepper sprays him. @NYCSpeakerCoJo @BPEricAdams @FarahNLouis @JumaaneWilliams @NewYorkStateAG @NYPDShea cc: @EOsyd https://t.co/tGK5XWS0bt,48027,['https://t.co/tGK5XWS0bt'],"['@NYCSpeakerCoJo', '@BPEricAdams', '@FarahNLouis', '@JumaaneWilliams', '@NewYorkStateAG', '@NYPDShea', '@EOsyd']",[],[': @EOsyd https:'],[': @EOsyd https:'],I am heartbroken and disgusted to see one of my family members a young black man w/his hands up peacefully protesting and an NYPD officer pulls down his mask and pepper sprays him.       cc:  
1266845631911428109,"When you see NYPD with unlimited vans, bullets, and tear gas don’t forgot we needed a gofundme to get masks for our hospital",47615,[],[],[],[],[],"When you see NYPD with unlimited vans, bullets, and tear gas don’t forgot we needed a gofundme to get masks for our hospital"
1256659592618090498,Quarantine got me even tired of being on my phone. https://t.co/s2s7EwQ8of,46994,['https://t.co/s2s7EwQ8of'],[],[],[],[],Quarantine got me even tired of being on my phone. 
1266240081997643777,"Anyhow fuck trump and keep going. be safe, stay hydrated, wear your mask and again, fuck Donald Trump.",46474,[],[],[],[],[],"Anyhow fuck trump and keep going. be safe, stay hydrated, wear your mask and again, fuck Donald Trump."
1259498452175720455,This is what happens to peace. https://t.co/vWJkqfoiVn,45181,['https://t.co/vWJkqfoiVn'],[],[],[],[],This is what happens to peace. 
1266540710188195843,"We literally left them a 69-page Pandemic Playbook.... that they ignored  

And an office called the Pandemic Preparedness Office... that they abolished. 

And a global monitoring system called PREDICT .. that they cut by 75% https://t.co/OD94v0UI4n",45008,['https://t.co/OD94v0UI4n'],[],[],[],[],"We literally left them a 69-page Pandemic Playbook.... that they ignored  

And an office called the Pandemic Preparedness Office... that they abolished. 

And a global monitoring system called PREDICT .. that they cut by 75% "
